# REAPER native action catalog (id\tname)
# Generated from REAPER 7.74 via SWS CF_EnumerateActions; native = ReverseNamedCommandLookup() empty.
# Native command IDs are stable across REAPER versions/platforms. Regenerate: see tools/README.md
180	Track: Set volume for track 21 (MIDI CC/OSC only)
181	Track: Set pan for track 21 (MIDI CC/OSC only)
182	Track: Toggle mute for track 21
183	Track: Toggle solo for track 21
184	Track: Toggle FX bypass for track 21
185	Track: Toggle record arm for track 21
186	Track: Set mute for track 21 (MIDI CC/OSC only)
187	Track: Set solo for track 21 (MIDI CC/OSC only)
188	Track: Set volume for track 22 (MIDI CC/OSC only)
189	Track: Set pan for track 22 (MIDI CC/OSC only)
190	Track: Toggle mute for track 22
191	Track: Toggle solo for track 22
192	Track: Toggle FX bypass for track 22
193	Track: Toggle record arm for track 22
194	Track: Set mute for track 22 (MIDI CC/OSC only)
195	Track: Set solo for track 22 (MIDI CC/OSC only)
196	Track: Set volume for track 23 (MIDI CC/OSC only)
197	Track: Set pan for track 23 (MIDI CC/OSC only)
198	Track: Toggle mute for track 23
199	Track: Toggle solo for track 23
200	Track: Toggle FX bypass for track 23
201	Track: Toggle record arm for track 23
202	Track: Set mute for track 23 (MIDI CC/OSC only)
203	Track: Set solo for track 23 (MIDI CC/OSC only)
204	Track: Set volume for track 24 (MIDI CC/OSC only)
205	Track: Set pan for track 24 (MIDI CC/OSC only)
206	Track: Toggle mute for track 24
207	Track: Toggle solo for track 24
208	Track: Toggle FX bypass for track 24
209	Track: Toggle record arm for track 24
210	Track: Set mute for track 24 (MIDI CC/OSC only)
211	Track: Set solo for track 24 (MIDI CC/OSC only)
212	Track: Set volume for track 25 (MIDI CC/OSC only)
213	Track: Set pan for track 25 (MIDI CC/OSC only)
214	Track: Toggle mute for track 25
215	Track: Toggle solo for track 25
216	Track: Toggle FX bypass for track 25
217	Track: Toggle record arm for track 25
218	Track: Set mute for track 25 (MIDI CC/OSC only)
219	Track: Set solo for track 25 (MIDI CC/OSC only)
220	Track: Set volume for track 26 (MIDI CC/OSC only)
221	Track: Set pan for track 26 (MIDI CC/OSC only)
222	Track: Toggle mute for track 26
223	Track: Toggle solo for track 26
224	Track: Toggle FX bypass for track 26
225	Track: Toggle record arm for track 26
226	Track: Set mute for track 26 (MIDI CC/OSC only)
227	Track: Set solo for track 26 (MIDI CC/OSC only)
228	Track: Set volume for track 27 (MIDI CC/OSC only)
229	Track: Set pan for track 27 (MIDI CC/OSC only)
230	Track: Toggle mute for track 27
231	Track: Toggle solo for track 27
232	Track: Toggle FX bypass for track 27
233	Track: Toggle record arm for track 27
234	Track: Set mute for track 27 (MIDI CC/OSC only)
235	Track: Set solo for track 27 (MIDI CC/OSC only)
236	Track: Set volume for track 28 (MIDI CC/OSC only)
237	Track: Set pan for track 28 (MIDI CC/OSC only)
238	Track: Toggle mute for track 28
239	Track: Toggle solo for track 28
240	Track: Toggle FX bypass for track 28
241	Track: Toggle record arm for track 28
242	Track: Set mute for track 28 (MIDI CC/OSC only)
243	Track: Set solo for track 28 (MIDI CC/OSC only)
244	Track: Set volume for track 29 (MIDI CC/OSC only)
245	Track: Set pan for track 29 (MIDI CC/OSC only)
246	Track: Toggle mute for track 29
247	Track: Toggle solo for track 29
248	Track: Toggle FX bypass for track 29
249	Track: Toggle record arm for track 29
250	Track: Set mute for track 29 (MIDI CC/OSC only)
251	Track: Set solo for track 29 (MIDI CC/OSC only)
252	Track: Set volume for track 30 (MIDI CC/OSC only)
253	Track: Set pan for track 30 (MIDI CC/OSC only)
254	Track: Toggle mute for track 30
